"docsize"	"shelfsize"	"copies"	"lifem"	"simlength"	"docstotal"	"auditfrequency"	"auditsegments"	"glitchfreq"	"glitchimpact"	"glitchdecay"	"glitchmaxlife"	"serverdefaultlife"	"shockfreq"	"shockimpact"	"shockmaxlife"	"shockspan"	"shocktype"	"mdmlosspct"	"n"
50	1	1	10	100000	10000	10000	1	0	0	0	0	100000	20000	20	5000	2	2	100	21
50	1	1	10	100000	10000	10000	1	0	0	0	0	100000	20000	20	10000	2	2	100	21
50	1	1	10	100000	10000	10000	1	0	0	0	0	100000	20000	50	5000	2	2	100	21
50	1	1	10	100000	10000	10000	1	0	0	0	0	100000	20000	50	10000	2	2	100	21
50	1	1	10	100000	10000	10000	1	0	0	0	0	100000	20000	90	5000	2	2	100	21
50	1	1	10	100000	10000	10000	1	0	0	0	0	100000	20000	90	10000	2	2	100	21
50	1	1	10	100000	10000	10000	1	0	0	0	0	100000	20000	100	5000	2	2	100	21
50	1	1	10	100000	10000	10000	1	0	0	0	0	100000	20000	100	10000	2	2	100	21
50	1	1	20	100000	10000	10000	1	0	0	0	0	100000	20000	20	5000	2	2	100	21
50	1	1	20	100000	10000	10000	1	0	0	0	0	100000	20000	20	10000	2	2	100	21
50	1	1	20	100000	10000	10000	1	0	0	0	0	100000	20000	50	5000	2	2	100	21
50	1	1	20	100000	10000	10000	1	0	0	0	0	100000	20000	50	10000	2	2	100	21
50	1	1	20	100000	10000	10000	1	0	0	0	0	100000	20000	90	5000	2	2	100	21
50	1	1	20	100000	10000	10000	1	0	0	0	0	100000	20000	90	10000	2	2	100	21
50	1	1	20	100000	10000	10000	1	0	0	0	0	100000	20000	100	5000	2	2	100	21
50	1	1	20	100000	10000	10000	1	0	0	0	0	100000	20000	100	10000	2	2	100	21
50	1	1	30	100000	10000	10000	1	0	0	0	0	100000	20000	20	5000	2	2	100	21
50	1	1	30	100000	10000	10000	1	0	0	0	0	100000	20000	20	10000	2	2	100	21
50	1	1	30	100000	10000	10000	1	0	0	0	0	100000	20000	50	5000	2	2	100	21
50	1	1	30	100000	10000	10000	1	0	0	0	0	100000	20000	50	10000	2	2	100	21
50	1	1	30	100000	10000	10000	1	0	0	0	0	100000	20000	90	5000	2	2	100	21
