timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150618_183208 5 1 1 10 100000 919028296 464 10000 9536 0 0 464 0 0 0 0 0 0 0 0 100 0 0 0 2.993 0.734 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed919028296.log 233228 q3-extractinstructions.txt 20150618_183218 0.5 5582f88c776839292828af61
20150618_183213 5 1 1 10 100000 103765041 475 10000 9525 0 0 475 0 0 0 0 0 0 0 0 100 0 0 0 3.036 0.78 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed103765041.log 237275 q3-extractinstructions.txt 20150618_183223 0.5 5582f88c776839292828af62
20150618_183218 5 1 1 10 100000 141246882 462 10000 9538 0 0 462 0 0 0 0 0 0 0 0 100 0 0 0 2.990 0.78 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed141246882.log 230938 q3-extractinstructions.txt 20150618_183228 0.5 5582f88c776839292828af63
20150618_183224 5 1 1 10 100000 681028781 474 10000 9526 0 0 474 0 0 0 0 0 0 0 0 100 0 0 0 3.084 0.827 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed681028781.log 238446 q3-extractinstructions.txt 20150618_183233 0.5 5582f88c776839292828af64
20150618_183229 5 1 1 10 100000 117661523 496 10000 9504 0 0 496 0 0 0 0 0 0 0 0 100 0 0 0 3.075 0.702 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed117661523.log 245562 q3-extractinstructions.txt 20150618_183239 0.5 5582f88c776839292828af65
20150618_183234 5 1 1 10 100000 105731136 486 10000 9514 0 0 486 0 0 0 0 0 0 0 0 100 0 0 0 3.021 0.749 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed105731136.log 242829 q3-extractinstructions.txt 20150618_183243 0.5 5582f88c776839292828af66
20150618_183239 5 1 1 10 100000 967561224 455 10000 9545 0 0 455 0 0 0 0 0 0 0 0 100 0 0 0 3.038 0.718 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed967561224.log 227292 q3-extractinstructions.txt 20150618_183249 0.5 5582f88c776839292828af67
20150618_183244 5 1 1 10 100000 420477893 491 10000 9509 0 0 491 0 0 0 0 0 0 0 0 100 0 0 0 3.252 0.873 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed420477893.log 245858 q3-extractinstructions.txt 20150618_183254 0.5 5582f88c776839292828af68
20150618_183249 5 1 1 10 100000 263688301 459 10000 9541 0 0 459 0 0 0 0 0 0 0 0 100 0 0 0 3.044 0.795 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed263688301.log 228478 q3-extractinstructions.txt 20150618_183259 0.5 5582f88c776839292828af69
20150618_183254 5 1 1 10 100000 50746969 500 10000 9500 0 0 500 0 0 0 0 0 0 0 0 100 0 0 0 3.406 0.936 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed50746969.log 250974 q3-extractinstructions.txt 20150618_183305 0.5 5582f88c776839292828af6a
20150618_183259 5 1 1 10 100000 533657980 513 10000 9487 0 0 513 0 0 0 0 0 0 0 0 100 0 0 0 3.763 0.81 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed533657980.log 254949 q3-extractinstructions.txt 20150618_183310 0.5 5582f88c776839292828af6b
20150618_183306 5 1 1 10 100000 711283608 478 10000 9522 0 0 478 0 0 0 0 0 0 0 0 100 0 0 0 4.312 0.733 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed711283608.log 238681 q3-extractinstructions.txt 20150618_183317 0.5 5582f88c776839292828af6c
20150618_183311 5 1 1 10 100000 597296547 513 10000 9487 0 0 513 0 0 0 0 0 0 0 0 100 0 0 0 3.423 0.92 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed597296547.log 255253 q3-extractinstructions.txt 20150618_183321 0.5 5582f88c776839292828af6d
20150618_183315 5 1 1 10 100000 664375964 503 10000 9497 0 0 503 0 0 0 0 0 0 0 0 100 0 0 0 3.613 0.873 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i100d0m0_seed664375964.log 250735 q3-extractinstructions.txt 20150618_183325 0.5 5582f88c776839292828af6e
